PlayerName,Foot,Position,AWR,DWR,OVR,PAC,SHO,PAS,DRI,DEF,PHY,SM,DIV,POS,HAN,REF,KIC,SPD
Javier Zanetti,Right,RB,High,High,92,86,63,88,85,90,81,2,NA,NA,NA,NA,NA,NA
Kenny Dalglish,Right,ST,High,Med,92,90,92,77,90,41,73,4,NA,NA,NA,NA,NA,NA
Luís Figo,Right,RW,High,Low,92,92,88,89,92,41,80,4,NA,NA,NA,NA,NA,NA
Garrincha,Right,RW,Med,Low,92,90,86,92,94,41,67,5,NA,NA,NA,NA,NA,NA
Paolo Maldini,Right,CB,Med,High,92,82,56,74,68,95,81,2,NA,NA,NA,NA,NA,NA
Raúl González Blanco,Left,CF,High,Med,92,88,92,82,90,47,75,4,NA,NA,NA,NA,NA,NA
Rivaldo,Left,LW,Med,Low,92,87,91,88,92,44,78,4,NA,NA,NA,NA,NA,NA
Ruud van Nistelrooy,Right,ST,High,Low,92,86,91,78,85,37,82,3,NA,NA,NA,NA,NA,NA
Ryan Giggs,Left,LM,High,Med,92,90,80,90,91,44,67,3,NA,NA,NA,NA,NA,NA
Samuel Eto'o,Right,ST,High,Low,92,95,93,82,90,47,83,4,NA,NA,NA,NA,NA,NA
Robert Lewandowski,Right,ST,High,Med,92,78,92,79,86,44,82,4,NA,NA,NA,NA,NA,NA
Alan Shearer,Right,ST,High,Med,91,81,93,77,78,52,85,2,NA,NA,NA,NA,NA,NA
Andriy Shevchenko,Right,ST,High,High,91,88,92,72,87,34,75,3,NA,NA,NA,NA,NA,NA
Bastian Schweinsteiger,Right,CM,High,High,91,76,86,89,86,86,86,3,NA,NA,NA,NA,NA,NA
Clarence Seedorf,Right,CAM,Med,Med,91,80,87,90,88,68,82,4,NA,NA,NA,NA,NA,NA
David Trezeguet,Right,ST,Med,Low,91,81,92,70,82,45,80,4,NA,NA,NA,NA,NA,NA
Didier Drogba,Right,ST,High,High,91,90,92,77,82,47,90,4,NA,NA,NA,NA,NA,NA
Diego Maradona,Left,CAM,High,Med,91,93,87,87,94,38,76,5,NA,NA,NA,NA,NA,NA
Pelé,Right,CF,High,Med,91,94,89,88,93,53,73,5,NA,NA,NA,NA,NA,NA
Eusébio,Right,CF,High,Med,91,93,93,88,90,42,74,4,NA,NA,NA,NA,NA,NA
Fernando Hierro Ruiz,Right,CB,Med,High,91,73,68,76,70,93,87,2,NA,NA,NA,NA,NA,NA
Fernando Torres,Right,ST,High,Med,91,93,90,79,88,45,78,4,NA,NA,NA,NA,NA,NA
Franco Baresi,Right,CB,Med,High,91,69,48,74,70,94,80,2,NA,NA,NA,NA,NA,NA
Gheorghe Hagi,Left,CAM,Med,Low,91,83,89,90,90,43,65,4,NA,NA,NA,NA,NA,NA
Ian Rush,Right,ST,High,Med,91,86,92,72,86,45,81,3,NA,NA,NA,NA,NA,NA
Johan Cruyff,Right,CF,High,Low,91,91,89,88,93,41,72,5,NA,NA,NA,NA,NA,NA
Riquelme,Right,CAM,Med,Low,91,70,87,93,93,32,69,5,NA,NA,NA,NA,NA,NA
Kaká,Right,CAM,High,Med,91,91,86,88,92,44,73,5,NA,NA,NA,NA,NA,NA
Laurent Blanc,Right,CB,Med,High,91,79,69,70,78,92,86,2,NA,NA,NA,NA,NA,NA
Lothar Matthäus,Right,CDM,High,High,91,87,84,86,77,89,82,3,NA,NA,NA,NA,NA,NA
Marcel Desailly,Right,CB,Med,High,91,83,52,66,67,90,90,2,NA,NA,NA,NA,NA,NA
Marco van Basten,Right,ST,Med,Low,91,79,92,75,87,40,70,3,NA,NA,NA,NA,NA,NA
Michael Ballack,Right,CM,Med,High,91,81,90,88,83,81,86,4,NA,NA,NA,NA,NA,NA
Michael Laudrup,Right,CAM,Med,Med,91,85,79,90,92,38,64,4,NA,NA,NA,NA,NA,NA
Michael Owen,Right,ST,Med,Med,91,90,89,70,88,34,67,3,NA,NA,NA,NA,NA,NA
Miroslav Klose,Right,ST,High,Med,91,88,88,76,82,41,81,3,NA,NA,NA,NA,NA,NA
Patrick Kluivert,Right,ST,High,Low,91,86,88,80,83,41,82,4,NA,NA,NA,NA,NA,NA
Patrick Vieira,Right,CM,Med,High,91,83,80,82,85,90,91,3,NA,NA,NA,NA,NA,NA
Paul Scholes,Right,CM,High,Med,91,72,87,91,80,64,82,3,NA,NA,NA,NA,NA,NA
Pavel Nedvěd,Right,LM,High,Med,91,85,88,90,90,60,81,4,NA,NA,NA,NA,NA,NA
Philipp Lahm,Right,RB,High,High,91,87,72,87,87,90,73,3,NA,NA,NA,NA,NA,NA
Robert Pirès,Right,LM,Med,Med,91,88,82,88,89,40,64,4,NA,NA,NA,NA,NA,NA
Roberto Baggio,Right,CAM,Med,Low,91,88,82,89,90,38,60,5,NA,NA,NA,NA,NA,NA
Roberto Carlos,Left,LB,High,High,91,92,83,84,81,86,86,3,NA,NA,NA,NA,NA,NA
Ronald Koeman,Right,CB,High,Med,91,75,88,89,80,90,86,3,NA,NA,NA,NA,NA,NA
Ronaldinho,Right,CAM,High,Low,91,91,86,88,92,36,79,5,NA,NA,NA,NA,NA,NA
Sócrates,Right,CAM,High,Med,91,84,90,91,90,45,84,4,NA,NA,NA,NA,NA,NA
Steven Gerrard,Right,CM,High,Med,91,77,90,90,85,77,84,3,NA,NA,NA,NA,NA,NA
Zinedine Zidane,Right,CM,High,Med,91,84,86,91,90,73,81,5,NA,NA,NA,NA,NA,NA
Kylian Mbappé,Right,ST,High,Low,91,97,88,80,92,36,77,5,NA,NA,NA,NA,NA,NA
Cristiano Ronaldo,Right,ST,High,Low,91,87,93,82,88,34,75,5,NA,NA,NA,NA,NA,NA
Robin van Persie,Left,ST,NA,NA,91,85,94,87,90,46,74,0,NA,NA,NA,NA,NA,NA
Neymar Jr,Right,LW,High,Med,91,91,83,86,94,37,63,5,NA,NA,NA,NA,NA,NA
Kevin De Bruyne,Right,CM,High,High,91,76,86,93,88,64,78,4,NA,NA,NA,NA,NA,NA
Cristiano Ronaldo,Right,ST,High,Low,91,87,93,82,88,34,75,5,NA,NA,NA,NA,NA,NA
Wayne Rooney,Right,ST,NA,NA,91,89,92,83,88,55,89,0,NA,NA,NA,NA,NA,NA
Kylian Mbappé,Right,ST,High,Low,91,97,88,80,92,36,77,5,NA,NA,NA,NA,NA,NA
Alessandro Del Piero,Right,CF,Med,Med,90,85,90,85,92,42,69,4,NA,NA,NA,NA,NA,NA
Alessandro Nesta,Right,CB,Med,High,90,71,41,62,66,91,85,2,NA,NA,NA,NA,NA,NA
Anderson Luís de Souza,Right,CM,High,Med,90,83,79,91,90,51,70,4,NA,NA,NA,NA,NA,NA
Andrea Pirlo,Right,CM,Med,Med,90,75,79,93,90,68,65,5,NA,NA,NA,NA,NA,NA
Carles Puyol Saforcada,Right,CB,Med,High,90,72,45,66,58,93,91,2,NA,NA,NA,NA,NA,NA
Carlos Alberto Torres,Right,RB,High,Med,90,90,63,80,83,87,84,3,NA,NA,NA,NA,NA,NA
Christian Vieri,Left,ST,Med,Med,90,83,91,74,83,40,84,3,NA,NA,NA,NA,NA,NA
Claude Makélélé,Right,CDM,Low,High,90,80,50,79,80,88,88,3,NA,NA,NA,NA,NA,NA
Davor Šuker,Left,ST,High,Med,90,85,91,82,91,45,77,4,NA,NA,NA,NA,NA,NA
Dennis Bergkamp,Right,CAM,High,Med,90,85,89,83,88,35,73,4,NA,NA,NA,NA,NA,NA
Emilio Butragueño,Right,ST,Med,Low,90,92,88,81,91,42,70,3,NA,NA,NA,NA,NA,NA
Emmanuel Petit,Left,CDM,High,High,90,77,79,82,78,87,89,3,NA,NA,NA,NA,NA,NA
Éric Cantona,Right,CF,High,Med,90,85,90,89,91,54,90,5,NA,NA,NA,NA,NA,NA
Filippo Inzaghi,Right,ST,Med,Low,90,79,91,69,83,36,65,3,NA,NA,NA,NA,NA,NA
Frank Lampard,Right,CM,High,Med,90,74,90,88,84,73,81,3,NA,NA,NA,NA,NA,NA
Frank Rijkaard,Right,CDM,Med,Med,90,77,76,83,80,90,87,3,NA,NA,NA,NA,NA,NA
George Best,Right,RW,Med,Low,90,90,90,83,93,57,70,4,NA,NA,NA,NA,NA,NA
Gianfranco Zola,Right,CF,High,Med,90,86,91,88,91,43,63,4,NA,NA,NA,NA,NA,NA
Henrik Larsson,Right,ST,High,High,90,90,89,76,85,48,73,3,NA,NA,NA,NA,NA,NA
Hernán Crespo,Right,ST,Med,Low,90,89,90,72,89,38,73,4,NA,NA,NA,NA,NA,NA
Hristo Stoichkov,Left,LW,Med,Med,90,90,90,87,90,48,84,4,NA,NA,NA,NA,NA,NA
Jari Litmanen,Right,CAM,Med,Med,90,82,89,84,84,36,64,3,NA,NA,NA,NA,NA,NA
Jay-Jay Okocha,Right,CAM,Med,Low,90,87,83,84,94,40,60,5,NA,NA,NA,NA,NA,NA
Pep Guardiola,Right,CDM,Med,High,90,78,65,88,81,88,83,3,NA,NA,NA,NA,NA,NA
Juan Sebastián Verón,Right,CM,Med,Med,90,76,85,90,85,77,85,3,NA,NA,NA,NA,NA,NA
Kenny Dalglish,Right,CF,High,Med,90,87,90,79,89,42,71,4,NA,NA,NA,NA,NA,NA
Luís Figo,Right,RW,Med,Med,90,90,86,88,91,40,78,4,NA,NA,NA,NA,NA,NA
Luis Hernández,Right,ST,High,Med,90,92,88,74,89,48,70,4,NA,NA,NA,NA,NA,NA
Garrincha,Right,RW,Med,Low,90,90,83,88,93,41,67,5,NA,NA,NA,NA,NA,NA
Marc Overmars,Left,LM,High,Med,90,95,82,81,89,47,67,3,NA,NA,NA,NA,NA,NA
Michael Essien,Right,CDM,High,High,90,85,76,81,82,90,90,3,NA,NA,NA,NA,NA,NA
Nemanja Vidić,Right,CB,Med,High,90,78,50,62,64,93,91,2,NA,NA,NA,NA,NA,NA
Rio Ferdinand,Right,CB,Med,Med,90,83,49,67,65,91,86,3,NA,NA,NA,NA,NA,NA
Rivaldo,Left,CF,Med,Low,90,85,90,87,90,43,77,4,NA,NA,NA,NA,NA,NA
Ronaldo,Right,ST,Med,Med,90,94,90,77,91,42,72,4,NA,NA,NA,NA,NA,NA
Roy Keane,Right,CM,Med,High,90,72,71,85,81,87,89,2,NA,NA,NA,NA,NA,NA
Rui Manuel César Costa,Right,CAM,Med,Med,90,86,81,88,88,44,79,4,NA,NA,NA,NA,NA,NA
Ruud Gullit,Right,CM,High,Med,90,88,88,88,87,80,87,4,NA,NA,NA,NA,NA,NA
Ruud van Nistelrooy,Right,ST,High,Low,90,82,88,72,82,38,80,3,NA,NA,NA,NA,NA,NA
Samuel Eto'o,Right,ST,High,Med,90,91,91,82,88,53,81,4,NA,NA,NA,NA,NA,NA
Thierry Henry,Right,LW,Med,Med,90,90,88,85,87,51,77,4,NA,NA,NA,NA,NA,NA
Xavier Hernández,Right,CM,Med,Med,90,77,74,93,92,66,68,4,NA,NA,NA,NA,NA,NA
Marcos Cafú,Right,RB,High,Med,90,90,57,85,87,88,84,4,NA,NA,NA,NA,NA,NA
Harry Kane,Right,ST,High,High,90,70,91,83,83,47,83,3,NA,NA,NA,NA,NA,NA
N'Golo Kanté,Right,CDM,Med,High,90,78,66,75,82,87,83,2,NA,NA,NA,NA,NA,NA
Alan Shearer,Right,ST,High,Med,89,84,90,75,78,48,84,2,NA,NA,NA,NA,NA,NA
Ashley Cole,Left,LB,High,Med,89,89,67,83,83,88,80,3,NA,NA,NA,NA,NA,NA
Bastian Schweinsteiger,Right,CM,High,High,89,68,83,87,83,85,87,3,NA,NA,NA,NA,NA,NA
Bobby Moore,Right,CB,Med,Med,89,66,60,81,75,91,83,2,NA,NA,NA,NA,NA,NA
David Beckham,Right,RM,High,High,89,80,85,92,86,68,80,3,NA,NA,NA,NA,NA,NA
David Trezeguet,Right,ST,Med,Low,89,82,90,68,80,43,76,4,NA,NA,NA,NA,NA,NA
Didier Drogba,Right,ST,High,High,89,85,90,75,80,46,88,4,NA,NA,NA,NA,NA,NA
Eusébio,Right,CF,High,Med,89,95,91,82,90,43,78,4,NA,NA,NA,NA,NA,NA
Fabio Cannavaro,Right,CB,Low,High,89,76,44,62,67,92,82,2,NA,NA,NA,NA,NA,NA
Ferenc Puskás,Left,CF,High,Low,89,90,93,85,90,42,73,4,NA,NA,NA,NA,NA,NA
Fernando Hierro Ruiz,Right,CB,Med,Med,89,71,66,75,70,90,84,2,NA,NA,NA,NA,NA,NA
Gary Lineker,Right,ST,High,Low,89,89,90,70,84,38,74,3,NA,NA,NA,NA,NA,NA
Gennaro Gattuso,Right,CDM,Med,High,89,73,65,72,73,91,89,2,NA,NA,NA,NA,NA,NA
Gheorghe Hagi,Left,CAM,Med,Low,89,85,87,89,89,40,65,4,NA,NA,NA,NA,NA,NA
Gianluca Zambrotta,Right,RB,High,Med,89,90,72,84,85,88,86,4,NA,NA,NA,NA,NA,NA
Hugo Sánchez,Left,ST,High,Med,89,90,88,78,89,41,70,3,NA,NA,NA,NA,NA,NA
Ian Rush,Right,ST,High,Med,89,83,90,72,85,44,80,3,NA,NA,NA,NA,NA,NA
Ian Wright,Right,ST,Med,Med,89,89,90,70,82,41,77,3,NA,NA,NA,NA,NA,NA
Johan Cruyff,Right,CF,High,Low,89,92,87,85,92,40,70,5,NA,NA,NA,NA,NA,NA
John Barnes,Left,LW,High,Med,89,90,87,85,91,45,85,4,NA,NA,NA,NA,NA,NA
Riquelme,Right,CAM,Med,Low,89,68,83,91,92,32,67,5,NA,NA,NA,NA,NA,NA
Laurent Blanc,Right,CB,Med,High,89,79,68,70,79,90,85,2,NA,NA,NA,NA,NA,NA
Marco van Basten,Right,ST,Med,Med,89,83,91,72,86,35,76,3,NA,NA,NA,NA,NA,NA
Michael Ballack,Right,CM,Med,High,89,78,87,88,82,78,88,4,NA,NA,NA,NA,NA,NA
Michael Laudrup,Right,LW,Med,Med,89,82,77,89,90,36,62,4,NA,NA,NA,NA,NA,NA
Miroslav Klose,Right,ST,High,Med,89,83,87,75,81,42,78,3,NA,NA,NA,NA,NA,NA
Paul Scholes,Right,CM,High,Med,89,71,86,89,81,64,80,3,NA,NA,NA,NA,NA,NA
Pavel Nedvěd,Right,LM,High,Med,89,88,86,88,88,52,80,4,NA,NA,NA,NA,NA,NA
Philipp Lahm,Right,CDM,High,High,89,82,70,88,85,90,70,3,NA,NA,NA,NA,NA,NA
Kaká,Right,CAM,High,Med,89,85,82,87,90,43,70,5,NA,NA,NA,NA,NA,NA
Roberto Baggio,Right,CF,Med,Low,89,82,83,90,90,41,61,5,NA,NA,NA,NA,NA,NA
Ronaldinho,Right,CAM,Med,Low,89,80,85,88,90,38,77,5,NA,NA,NA,NA,NA,NA
Ryan Giggs,Left,LM,Med,Med,89,84,80,90,88,47,64,3,NA,NA,NA,NA,NA,NA
Sócrates,Right,CAM,High,Med,89,82,88,88,88,46,83,4,NA,NA,NA,NA,NA,NA
Sol Campbell,Right,CB,Low,Med,89,80,45,60,54,90,90,2,NA,NA,NA,NA,NA,NA
Steven Gerrard,Right,CM,High,High,89,80,86,88,84,75,80,3,NA,NA,NA,NA,NA,NA
Fernando Morientes Sánchez,Right,ST,Med,Med,89,84,90,77,83,45,86,4,NA,NA,NA,NA,NA,NA
Abedi Pelé,Left,CAM,Med,Med,89,91,83,87,91,48,66,4,NA,NA,NA,NA,NA,NA
David Ginola,Left,LM,High,Med,89,90,88,87,91,55,84,5,NA,NA,NA,NA,NA,NA
Jürgen Kohler,Right,CB,NA,NA,89,71,51,63,62,91,90,0,NA,NA,NA,NA,NA,NA
Robin van Persie,Left,ST,Med,Low,89,83,92,85,88,44,75,4,NA,NA,NA,NA,NA,NA
Heung Min Son,Right,LM,High,High,89,88,87,82,86,43,69,4,NA,NA,NA,NA,NA,NA
Sadio Mané,Right,LW,High,Med,89,91,83,80,89,44,77,4,NA,NA,NA,NA,NA,NA
Casemiro,Right,CDM,High,High,89,65,73,76,73,86,90,2,NA,NA,NA,NA,NA,NA
Joshua Kimmich,Right,CDM,High,Med,89,70,73,86,84,83,79,3,NA,NA,NA,NA,NA,NA
Virgil van Dijk,Right,CB,Med,Med,89,78,60,71,72,91,84,2,NA,NA,NA,NA,NA,NA
Karim Benzema,Right,CF,Med,Med,89,76,86,81,87,39,77,4,NA,NA,NA,NA,NA,NA
Mohamed Salah,Left,RW,High,Med,89,90,87,81,90,45,75,4,NA,NA,NA,NA,NA,NA
Alessandro Nesta,Right,CB,Med,High,88,70,40,63,65,90,85,2,NA,NA,NA,NA,NA,NA
Andrea Pirlo,Right,CM,Med,Med,88,70,79,91,90,66,64,5,NA,NA,NA,NA,NA,NA
Andriy Shevchenko,Right,ST,High,Med,88,84,89,73,85,35,75,3,NA,NA,NA,NA,NA,NA
Christian Vieri,Left,ST,Med,Low,88,82,88,70,80,41,84,3,NA,NA,NA,NA,NA,NA
Clarence Seedorf,Right,CM,High,Med,88,82,85,87,86,70,85,4,NA,NA,NA,NA,NA,NA
Emmanuel Petit,Left,CDM,High,High,88,75,77,81,77,86,88,3,NA,NA,NA,NA,NA,NA
Éric Cantona,Right,CF,High,Med,88,87,88,87,90,50,90,5,NA,NA,NA,NA,NA,NA
Fernando Torres,Right,ST,High,Med,88,91,87,73,86,43,75,4,NA,NA,NA,NA,NA,NA
Franco Baresi,Right,CB,Med,High,88,71,47,70,72,89,82,2,NA,NA,NA,NA,NA,NA
Frank Lampard,Right,CM,Med,Med,88,66,88,87,83,70,76,3,NA,NA,NA,NA,NA,NA
Frank Rijkaard,Right,CB,Med,Med,88,78,73,79,78,88,85,3,NA,NA,NA,NA,NA,NA
George Best,Right,RW,Med,Med,88,91,88,81,92,59,70,4,NA,NA,NA,NA,NA,NA
Hidetoshi Nakata,Right,CAM,Med,Med,88,85,84,86,87,62,65,4,NA,NA,NA,NA,NA,NA
Jari Litmanen,Right,CAM,High,Med,88,83,89,81,83,33,64,3,NA,NA,NA,NA,NA,NA
Javier Zanetti,Right,RB,High,High,88,83,61,85,82,87,80,2,NA,NA,NA,NA,NA,NA
Juan Sebastián Verón,Right,CM,Med,Med,88,74,83,88,83,75,82,3,NA,NA,NA,NA,NA,NA
Lothar Matthäus,Right,CB,High,High,88,82,82,87,77,90,80,3,NA,NA,NA,NA,NA,NA
Luís Figo,Right,CAM,Med,Low,88,88,84,87,88,42,77,4,NA,NA,NA,NA,NA,NA
Marc Overmars,Left,LW,High,Med,88,95,81,80,88,44,64,3,NA,NA,NA,NA,NA,NA
Marcel Desailly,Right,CDM,Med,High,88,83,54,69,67,88,88,2,NA,NA,NA,NA,NA,NA
Michael Owen,Right,ST,Med,Med,88,91,86,66,87,31,62,3,NA,NA,NA,NA,NA,NA
Nemanja Vidić,Right,CB,Med,High,88,70,46,60,61,91,88,2,NA,NA,NA,NA,NA,NA
Paolo Maldini,Right,LB,Med,High,88,87,54,73,65,90,78,2,NA,NA,NA,NA,NA,NA
Patrick Kluivert,Right,ST,High,Low,88,86,84,79,82,39,81,4,NA,NA,NA,NA,NA,NA
Patrick Vieira,Right,CM,Med,High,88,85,75,80,84,86,89,3,NA,NA,NA,NA,NA,NA
Raúl González Blanco,Left,CF,High,Med,88,86,86,78,88,45,72,4,NA,NA,NA,NA,NA,NA
Rio Ferdinand,Right,CB,Med,Med,88,80,48,65,64,89,82,3,NA,NA,NA,NA,NA,NA
Robert Pirès,Right,LM,Med,Med,88,88,80,86,86,40,62,4,NA,NA,NA,NA,NA,NA
Roberto Carlos,Left,LB,High,High,88,90,81,86,79,83,85,3,NA,NA,NA,NA,NA,NA
Ronald Koeman,Right,CB,High,Med,88,77,86,86,79,87,83,3,NA,NA,NA,NA,NA,NA
Roy Keane,Right,CM,Med,High,88,74,72,84,78,85,88,2,NA,NA,NA,NA,NA,NA
Rui Manuel César Costa,Right,CAM,Med,Low,88,82,80,87,86,47,76,4,NA,NA,NA,NA,NA,NA
Xavier Hernández,Right,CM,High,High,88,81,75,89,88,63,64,4,NA,NA,NA,NA,NA,NA
Antonio Di Natale,Right,ST,Med,Low,88,90,91,85,90,46,70,4,NA,NA,NA,NA,NA,NA
Diego Milito,Right,ST,NA,NA,88,83,89,75,84,43,80,0,NA,NA,NA,NA,NA,NA
Mario Gomez,Right,ST,High,Med,88,83,90,73,82,43,83,3,NA,NA,NA,NA,NA,NA
Romelu Lukaku,Left,ST,Med,Med,88,84,87,74,78,39,83,3,NA,NA,NA,NA,NA,NA
Marcos Cafú,Right,RB,High,Med,88,89,55,82,85,86,83,4,NA,NA,NA,NA,NA,NA
Romelu Lukaku,Left,ST,Med,Med,88,84,87,74,78,39,83,3,NA,NA,NA,NA,NA,NA
Toni Kroos,Right,CM,Med,Med,88,53,81,91,81,71,68,3,NA,NA,NA,NA,NA,NA
Erling Haaland,Left,ST,High,High,88,89,91,65,80,45,88,3,NA,NA,NA,NA,NA,NA
Raheem Sterling,Right,LW,High,Med,88,91,82,79,87,45,66,4,NA,NA,NA,NA,NA,NA
Luis Suárez,Right,ST,High,Med,88,72,90,82,84,47,83,3,NA,NA,NA,NA,NA,NA
Bruno Miguel Borges Fernandes,Right,CAM,High,High,88,75,86,89,84,70,77,4,NA,NA,NA,NA,NA,NA
Sergio Ramos García,Right,CB,High,Med,88,70,70,76,74,88,84,3,NA,NA,NA,NA,NA,NA
Wayne Rooney,Right,CF,High,High,88,90,90,81,87,50,86,3,NA,NA,NA,NA,NA,NA
Alan Shearer,Right,ST,Med,Med,87,76,88,76,76,53,84,2,NA,NA,NA,NA,NA,NA
Alessandro Del Piero,Right,CF,High,Med,87,88,88,84,89,40,70,4,NA,NA,NA,NA,NA,NA
Anderson Luís de Souza,Right,CAM,Med,Med,87,80,77,87,87,45,63,4,NA,NA,NA,NA,NA,NA
Ashley Cole,Left,LB,High,Med,87,85,65,82,81,86,75,3,NA,NA,NA,NA,NA,NA
Bastian Schweinsteiger,Right,LM,High,High,87,80,86,84,85,70,80,3,NA,NA,NA,NA,NA,NA
Bobby Moore,Right,CB,Med,Med,87,70,60,78,73,90,83,2,NA,NA,NA,NA,NA,NA
Carlos Alberto Torres,Right,CB,Med,Med,87,82,62,80,80,88,83,3,NA,NA,NA,NA,NA,NA
Claude Makélélé,Right,CDM,Low,High,87,78,47,77,77,86,85,3,NA,NA,NA,NA,NA,NA
David Beckham,Right,CM,Med,Med,87,78,84,92,85,71,78,3,NA,NA,NA,NA,NA,NA
Davor Šuker,Left,ST,High,Med,87,86,90,80,89,42,76,4,NA,NA,NA,NA,NA,NA
Dennis Bergkamp,Right,CF,Med,Low,87,76,85,85,87,39,73,4,NA,NA,NA,NA,NA,NA
Didier Drogba,Right,ST,High,High,87,88,87,71,80,43,86,4,NA,NA,NA,NA,NA,NA
Emilio Butragueño,Right,ST,Med,Med,87,90,86,75,89,40,64,3,NA,NA,NA,NA,NA,NA
Fabio Cannavaro,Right,CB,Med,High,87,82,42,60,68,90,81,2,NA,NA,NA,NA,NA,NA
Filippo Inzaghi,Right,ST,Med,Low,87,81,88,67,82,35,67,3,NA,NA,NA,NA,NA,NA
Gary Lineker,Right,ST,High,Low,87,84,88,70,81,40,75,3,NA,NA,NA,NA,NA,NA
Gennaro Gattuso,Right,CDM,Med,High,87,74,62,68,70,87,90,2,NA,NA,NA,NA,NA,NA
Gianfranco Zola,Right,CF,High,Med,87,88,87,85,90,41,64,4,NA,NA,NA,NA,NA,NA
